ID,Name,Owner,Controler,Religion,Culture
2214,Golestan,KHI,KHI,sunni,mazandarani
2215,Qazvin,CRI,CRI,sunni,azerbaijani
2216,Semnan,CRI,CRI,sunni,persian
2217,Yasuj,QOM,QOM,sunni,luri
2218,Shiraz,FRS,FRS,sunni,persian
2219,Bandar Langeh,FRS,FRS,sunni,persian
2220,Bam,TUN,TUN,sunni,baluchi
2221,Mashhad,TRS,TRS,shiite,khorasani
2222,Ardakan,CRI,CRI,sunni,persian
2223,Larestan,FRS,FRS,sunni,persian
2224,Ferah,TRS,TRS,sunni,khorasani
2225,Bamyan,AFG,AFG,sunni,afghani
2226,Jalalabad,AFG,AFG,sunni,afghani
2227,Kunduz,CHG,CHG,sunni,afghani
2228,Maymana,TRS,TRS,sunni,afghani
2229,Bust,SIS,SIS,sunni,afghani
2230,Chakhansur,SIS,SIS,sunni,khorasani
2231,Bela,BAL,BAL,sunni,baluchi
2232,Kharan,TUN,TUN,sunni,baluchi
2233,Chabahar,TUN,TUN,sunni,baluchi
2234,Rafsanjan,TIM,TIM,sunni,persian
2235,Sabzevar,TIM,TIM,sunni,khorasani
2236,Bojnord,TIM,TIM,sunni,khorasani
2237,Tekrur,CAS,CAS,shamanism,fulani
2238,Kantor,CAS,CAS,shamanism,fulani
2239,Siine,CAS,CAS,shamanism,senegambian
2240,Galam,CAS,CAS,shamanism,fulani
2241,Beafada,PRO,PRO,shamanism,senegambian
2242,Karou,NONE,NONE,shamanism,dyola
2243,Termes,CAS,CAS,shamanism,fulani
2244,Tagant,FUL,FUL,shamanism,fulani
2245,Wagadu,CAS,CAS,shamanism,fulani
2246,Baghena,CAS,CAS,sunni,fulani
2247,Hodh,SON,SON,sunni,tuareg
2248,Do,CAS,CAS,shamanism,mali
2249,Sibiridugu,CAS,CAS,shamanism,mali
2250,Bendugu,CAS,CAS,sunni,bozo
2251,Guinea,NONE,NONE,NONE,NONE
2252,Lobi,KNG,KNG,shamanism,dyola
2253,Gwiriko,KNG,KNG,shamanism,dyola
2254,Bonoman,SON,SON,shamanism,aka
2255,Gyaaman,IRE,REB,sunni,aka
2256,Dagbon,DGB,DGB,shamanism,dagomba
2257,Denkyira,IRE,IRE,shamanism,aka
2258,Cape Coast,IRE,IRE,shamanism,aka
2259,Sah,SON,SON,shamanism,bambara
2260,Mema,SON,SON,sunni,bambara
2261,Kala,SON,SON,shamanism,bozo
2262,Karabara,SON,SON,sunni,songhai
2263,Haayre,SON,SON,shamanism,bozo
2264,Hombori,SON,SON,shamanism,songhai
2265,Liptako,SON,SON,shamanism,mossi
2266,Bilanga,SON,SON,shamanism,mossi
2267,Tenkodogo,SON,SON,shamanism,mossi
2268,Aribanda,SON,SON,sunni,songhai
2269,Zarmaganda,SON,SON,sunni,songhai
2270,Dallol,SON,SON,shamanism,songhai
2271,Azawagh,SON,SON,sunni,tuareg
2272,Azbin,AIR,AIR,sunni,tuareg
2273,Ader,AIR,AIR,sunni,tuareg
2274,Air,AIR,AIR,sunni,tuareg
2275,Tenere,YAO,YAO,sunni,tuareg
2276,Itesan,YAO,YAO,sunni,tuareg
2277,Kawar,YAO,YAO,sunni,tuareg
2278,Kebbi,SON,SON,shamanism,hausa
2279,Daura,KAN,KAN,sunni,hausa
2280,Biram,KAN,KAN,sunni,hausa
2281,Rano,KAN,KAN,sunni,hausa
2282,Muniyo,KAN,KAN,sunni,kanuri
2283,Bedde,YAO,YAO,sunni,kanuri
2284,Manga,YAO,YAO,sunni,kanuri
2285,Marghi,YAO,YAO,shamanism,kanuri
2286,Logone,YAO,YAO,shamanism,kanuri
2287,Kotoko,YAO,YAO,sunni,kanuri
2288,Yao,YAO,YAO,sunni,bilala
2289,Ondo,IRE,IRE,shamanism,yorumba
2290,Ijebu,IRE,IRE,shamanism,yorumba
2291,Ketu,OYO,OYO,shamanism,yorumba
2292,Moshi,OYO,OYO,shamanism,yorumba
2293,Yawuri,SON,SON,shamanism,hausa
2294,Warri,IRE,IRE,shamanism,yorumba
2295,Atakora,DGB,DGB,shamanism,dagomba
2296,Karasi,RUM,RUM,sunni,turkish
2297,Saruhan,RUM,RUM,sunni,turkish
2298,Tekke,RUM,RUM,sunni,turkish
2299,Bolu,RUM,RUM,sunni,turkish
2300,Bozok,RUM,RUM,sunni,turkish
2301,Kayseri,RUM,RUM,sunni,turkish
2302,Içel,RUM,RUM,sunni,turkish
2303,Malatya,RUM,RUM,sunni,turkish
2304,Canik,RUM,RUM,sunni,turkish
2305,Erzincan,RUM,RUM,coptic,armenian
2306,Mush,CRI,CRI,coptic,armenian
2307,Van,CRI,CRI,coptic,armenian
2308,Urfa,MAM,MAM,sunni,kurdish
2309,Sinjar,MAM,MAM,sunni,al_iraqiya_arabic
2310,Tikrit,QOM,QOM,sunni,al_iraqiya_arabic
2311,Samawat,QOM,QOM,sunni,al_iraqiya_arabic
2312,Wasit,QOM,QOM,sunni,al_iraqiya_arabic
2313,Antioch,SYR,SYR,sunni,al_suryah_arabic
2314,Rahba,SYR,SYR,sunni,al_iraqiya_arabic
2315,Suez,TUN,TUN,sunni,al_misr_arabic
2316,Al Gharbia,RUM,RUM,sunni,al_misr_arabic
2317,Minya,MAM,MAM,sunni,al_misr_arabic
2318,Bahiriya,MAM,MAM,sunni,al_misr_arabic
2319,Manfalut,MAM,MAM,sunni,al_misr_arabic
2320,Ras Gharib,MAM,MAM,sunni,al_misr_arabic
2321,Queseer,MAM,MAM,sunni,al_misr_arabic
2322,Wadi Halfa,MAK,MAK,coptic,nubian
2323,Sahra an Nübyah,ETH,ETH,coptic,nubian
2324,Halaib,MAM,MAM,sunni,beja
2325,Tarrana,TUN,TUN,sunni,al_misr_arabic
2326,Bardiyah,MAM,MAM,sunni,al_misr_arabic
2327,Maan,MAM,MAM,sunni,bedouin_arabic
2328,Al Ula,TUN,TUN,sunni,bedouin_arabic
2329,Yanbu,MDA,MDA,sunni,hejazi_culture
2330,Ma'din Sulaym,MDA,MDA,sunni,hejazi_culture
2331,Jeddah,MAM,MAM,sunni,hejazi_culture
2332,Turubah,MAM,MAM,sunni,hejazi_culture
2333,Zufra,HDR,HDR,sunni,gulf_arabic
2334,Badiyat ash Sham,NONE,NONE,NONE,NONE
2335,Dawasir,ALH,ALH,sunni,bedouin_arabic
2336,Aflaj,ALH,ALH,sunni,bedouin_arabic
2337,Buraydah,TUN,TUN,sunni,bedouin_arabic
2338,Hafar,MAM,MAM,sunni,bedouin_arabic
2339,Yabrin,HDR,HDR,sunni,bedouin_arabic
2340,Grane,ALH,ALH,sunni,gulf_arabic
2341,Masirah,ORM,ORM,sunni,omani_culture
2342,Wusta,MHR,MHR,sunni,mahri_culture
2343,Kathiri,HDR,HDR,sunni,yemeni_culture
